"","instructor","state","institution","course","religion","christianden","nonrel","rel","raceoriginal","evound","micro","macro","human","evound1","evound2","evound3","evound4","evound5","evound6","evound7","evound8","evound9","evound10","evound11","evound12","evound13","evound14","micro1","micro2","micro3","micro4","micro5","micro6","micro7","micro8","macro1","macro2","macro3","macro4","macro5","macro6","macro7","macro8","human1","human2","human3","human4","human5","human6","human7","human8","rel1","rel2","rel3","rel4","africanamerican","racenative","raceasian","raceblack","racelatinx","raceislander","racewhite","raceother","racedecline","race","gender","religiosity"
"7062",40,3,16,73,8,NA,NA,4.25,9,0.928571428571429,5,4,4.125,1,1,1,1,1,1,1,1,0,1,1,1,1,1,5,5,5,5,5,5,5,5,4,3,4,4,5,4,5,3,4,3,5,4,5,4,3,5,4,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,"high"
"7063",5,12,13,33,2,1,NA,4.75,7,0.357142857142857,4,4.625,3.5,0,0,1,0,1,1,1,0,0,0,1,0,0,0,5,5,5,5,1,5,1,5,5,5,5,5,5,5,5,2,3,4,4,3,4,4,3,3,4,5,5,5,NA,NA,NA,NA,NA,NA,1,NA,NA,4,1,"high"
"7064",10,10,9,25,2,5,NA,4,7,0.642857142857143,3,2.5,2.75,1,0,1,0,1,1,1,1,0,0,1,1,1,0,4,2,2,4,4,2,4,2,2,4,2,2,2,4,2,2,2,4,4,2,2,4,2,2,4,4,4,4,NA,NA,NA,NA,NA,NA,1,NA,NA,4,2,"high"
"7065",37,12,24,78,6,NA,0,2.75,4,0.714285714285714,4.5,4.125,4,0,0,1,1,1,1,1,0,1,1,1,1,1,0,4,5,5,4,4,5,4,5,5,4,5,3,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,5,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,"moderate"
"7066",4,1,14,35,2,5,NA,4.25,3,0.571428571428571,3.75,3.375,3.375,1,1,1,0,1,0,1,1,0,1,1,0,0,0,4,4,4,4,4,3,4,3,4,3,3,3,4,3,3,4,3,3,3,4,3,4,4,3,4,5,3,5,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,"high"
"7067",7,2,1,15,6,NA,0,2.75,9,0.642857142857143,4.625,3.75,3.875,0,1,1,0,1,1,1,0,0,1,1,0,1,1,4,5,5,4,5,4,5,5,4,3,4,5,4,3,4,3,4,4,4,4,4,3,4,4,2,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,"moderate"
"7068",4,1,14,35,2,1,NA,3.75,6,0.714285714285714,4.875,4.375,4.25,1,0,1,1,1,1,1,0,1,1,1,0,1,0,5,5,5,5,5,4,5,5,5,5,5,4,4,3,4,5,5,4,5,4,4,4,4,4,3,4,4,4,NA,NA,1,NA,1,NA,NA,NA,NA,3,2,"moderate"
"7069",7,2,1,14,3,NA,NA,3.25,2,0.5,3.875,3.25,4,1,0,0,0,1,1,1,1,0,1,0,0,1,0,4,4,4,3,4,4,4,4,4,4,4,3,4,3,2,2,4,4,4,4,4,4,4,4,3,4,3,3,NA,NA,1,NA,NA,NA,NA,NA,NA,2,2,"moderate"
"7070",5,12,13,51,7,NA,NA,1.75,4,0.571428571428571,3.875,3.375,2.625,1,1,1,0,1,0,0,0,1,1,1,0,0,1,5,5,3,5,2,2,5,4,4,4,4,2,4,3,4,2,2,3,2,2,3,3,2,4,1,3,1,2,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,"low"
"7071",8,12,13,68,2,1,NA,2.5,4,0.571428571428571,4.25,3.25,4,1,1,1,1,1,1,0,0,0,0,1,1,0,0,4,5,4,4,4,4,5,4,4,3,4,2,4,3,4,2,3,5,4,4,4,4,4,4,1,3,2,4,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,"moderate"
"7072",13,2,1,17,2,1,NA,4.75,7,0.5,3.5,3,3,1,0,1,1,1,1,0,1,0,0,0,0,1,0,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,NA,NA,NA,NA,NA,NA,1,NA,NA,4,1,"high"
"7073",3,8,11,48,6,NA,1,2.75,2,0.714285714285714,4,3.75,3.75,1,0,1,1,1,0,1,1,1,0,0,1,1,1,4,4,4,4,4,4,4,4,4,4,4,5,4,3,4,2,4,3,4,4,3,4,4,4,2,3,2,4,NA,NA,1,NA,NA,NA,NA,NA,NA,2,2,"moderate"
"7074",44,6,7,62,6,NA,0,2.25,4,0.642857142857143,4.25,3.875,4,0,0,1,1,1,1,0,0,1,1,1,1,1,0,5,4,4,5,5,3,5,3,5,4,4,4,4,3,5,2,4,4,5,3,4,4,4,4,1,3,2,3,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,"moderate"
"7075",12,2,1,16,2,1,NA,2.5,4,0.571428571428571,4.25,3.375,3.875,1,0,1,0,0,1,1,1,0,0,1,1,1,0,4,5,4,5,4,4,4,4,3,4,4,3,3,4,3,3,4,4,4,4,4,4,3,4,2,4,2,2,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2,"moderate"
"7076",6,12,12,29,2,1,NA,5,7,0.785714285714286,4.625,4.375,4.375,1,0,0,1,1,1,1,1,0,1,1,1,1,1,4,4,4,5,5,5,5,5,5,5,4,3,5,5,4,4,4,4,4,5,4,4,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,1,NA,NA,4,2,"high"
"7077",11,3,16,56,2,1,NA,1.75,2,0.785714285714286,4.875,4.75,4.5,1,1,0,1,1,1,1,1,1,1,1,1,0,0,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,4,5,4,5,4,5,4,5,4,1,3,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,2,1,"low"
"7078",19,12,13,32,2,5,NA,4,7,0.857142857142857,3.875,3,2,1,0,1,1,1,1,1,1,1,1,1,1,1,0,4,4,4,5,3,4,5,2,3,3,3,2,5,3,3,2,2,1,2,2,1,2,2,4,3,5,4,4,NA,NA,NA,NA,NA,NA,1,NA,NA,4,1,"high"
"7079",48,2,1,57,2,4,NA,3,7,0.5,5,5,3.75,0,0,1,1,0,1,0,1,0,1,1,1,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,3,2,4,3,3,NA,NA,NA,NA,NA,NA,1,NA,NA,4,1,"moderate"
"7080",4,1,14,35,2,4,NA,5,7,0.571428571428571,4.25,3.25,2.5,1,0,1,1,0,0,1,1,0,1,1,1,0,0,5,5,4,5,4,3,5,3,4,2,4,3,4,3,4,2,1,2,3,2,3,3,2,4,5,5,5,5,NA,NA,NA,NA,NA,NA,1,NA,NA,4,1,"high"
"7081",23,4,23,40,5,NA,NA,4.25,2,0.714285714285714,4.5,4.25,3.875,1,0,1,1,1,1,1,1,0,1,0,1,1,0,4,3,5,4,5,5,5,5,4,4,4,5,5,5,3,4,4,4,5,2,4,4,4,4,4,5,4,4,NA,NA,1,NA,NA,NA,NA,1,NA,2,1,"high"
